Nom complet,Ticker,Type
Quest Diagnostics,DGX,Action
RTX Corporation,RTX,Action
Ralph Lauren Corporation,RL,Action
Raymond James Financial,RJF,Action
Realty Income,O,Action
Regency Centers,REG,Action
Regeneron Pharmaceuticals,REGN,Action
Regions Financial Corporation,RF,Action
Republic Services,RSG,Action
ResMed,RMD,Action
Revvity,RVTY,Action
Ripple,XRP-USD,Action
Rockwell Automation,ROK,Action
"Rollins, Inc.",ROL,Action
Roper Technologies,ROP,Action
Ross Stores,ROST,Action
Royal Caribbean Group,RCL,Action
S&P Global,SPGI,Action
SBA Communications,SBAC,Action
Salesforce,CRM,Action
Schlumberger,SLB,Action
Seagate Technology,STX,Action
Sempra,SRE,Action
ServiceNow,NOW,Action
Sherwin-Williams,SHW,Action
Shiba Inu,SHIB-USD,Crypto
Simon Property Group,SPG,Action
Skyworks Solutions,SWKS,Action
Smurfit Westrock,SW,Action
Snap-on,SNA,Action
Solana,SOL-USD,Crypto
Solventum,SOLV,Action
Southern Company,SO,Action
Southwest Airlines,LUV,Action
Stanley Black & Decker,SWK,Action
Starbucks,SBUX,Action
State Street Corporation,STT,Action
Steel Dynamics,STLD,Action
Stellar,XLM-USD,Crypto
Steris,STE,Action
Stryker Corporation,SYK,Action
Supermicro,SMCI,Action
Synchrony Financial,SYF,Action
Synopsys,SNPS,Action
Sysco,SYY,Action
T-Mobile US,TMUS,Action
T. Rowe Price,TROW,Action
TE Connectivity,TEL,Action
TJX Companies,TJX,Action
TKO Group Holdings,TKO,Action
Take-Two Interactive,TTWO,Action
"Tapestry, Inc.",TPR,Action
Targa Resources,TRGP,Action
Target Corporation,TGT,Action
Teledyne Technologies,TDY,Action
Teradyne,TER,Action
"Tesla, Inc.",TSLA,Action
Texas Instruments,TXN,Action
Texas Pacific Land Corporation,TPL,Action
Textron,TXT,Action
Tezos,XTZ-USD,Crypto
The Sandbox,SAND-USD,Crypto
Thermo Fisher Scientific,TMO,Action
Tractor Supply,TSCO,Action
Trade Desk (The),TTD,Action
Trane Technologies,TT,Action
TransDigm Group,TDG,Action
Travelers Companies (The),TRV,Action
Trimble Inc.,TRMB,Action
Truist Financial,TFC,Action
Tyler Technologies,TYL,Action
Tyson Foods,TSN,Action
U.S. Bancorp,USB,Action
"UDR, Inc.",UDR,Action
Uber,UBER,Action
Ulta Beauty,ULTA,Action
Union Pacific Corporation,UNP,Action
Uniswap,UNI-USD,Action
United Airlines Holdings,UAL,Action
United Parcel Service,UPS,Action
United Rentals,URI,Action
UnitedHealth Group,UNH,Action
Universal Health Services,UHS,Action
Valero Energy,VLO,Action
Ventas,VTR,Action
Veralto,VLTO,Action
Verisign,VRSN,Action
Verisk Analytics,VRSK,Action
Verizon,VZ,Action
Vertex Pharmaceuticals,VRTX,Action
Viatris,VTRS,Action
Vici Properties,VICI,Action
Visa Inc.,V,Action
Vistra Corp.,VST,Action
Vulcan Materials Company,VMC,Action
W. R. Berkley Corporation,WRB,Action
W. W. Grainger,GWW,Action
WEC Energy Group,WEC,Action
Wabtec,WAB,Action
Walgreens Boots Alliance,WBA,Action
Walmart,WMT,Action
Walt Disney Company (The),DIS,Action
Warner Bros. Discovery,WBD,Action
Waste Management,WM,Action
Waters Corporation,WAT,Action
Wells Fargo,WFC,Action
Welltower,WELL,Action
West Pharmaceutical Services,WST,Action
Western Digital,WDC,Action
Weyerhaeuser,WY,Action
Williams Companies,WMB,Action
"Williams-Sonoma, Inc.",WSM,Action
Willis Towers Watson,WTW,Action
"Workday, Inc.",WDAY,Action
Wynn Resorts,WYNN,Action
Xcel Energy,XEL,Action
Xylem Inc.,XYL,Action
Yum! Brands,YUM,Action
Zebra Technologies,ZBRA,Action
Zimmer Biomet,ZBH,Action
Zoetis,ZTS,Action
eBay Inc.,EBAY,Action
Trump,TRUMP-OFFICIAL-USD,Crypto
Apecoin,APE-USD,Crypto
CervoMED,CRVO,Action
Solana CAD,SOL-CAD,Crypto
Ethena,ENA-USD,Crypto
Kaspa,KAS-USD,Crypto
Solana EUR,SOL-EUR,Crypto
Hedera,HBAR-USD,Crypto
Dogwifhat,WIF-USD,Crypto
